symbol,isin,name,currency,size,domicile,exchange,instrument,ter,ticker,wkn
IE00B5BMR087,IE00B5BMR087,iShares Core S&P 500 UCITS ETF USD (Acc),USD,113692.0,Ireland,"gettex, XETRA, London, Stuttgart, SIX Swiss Exchange, Borsa Italiana, Euronext Amsterdam",ETF,0.07,SXR8,A0YEDG
IE00B4L5Y983,IE00B4L5Y983,iShares Core MSCI World UCITS ETF USD (Acc),USD,108234.0,Ireland,"gettex, XETRA, London, Stuttgart, SIX Swiss Exchange, Borsa Italiana, Euronext Amsterdam",ETF,0.2,EUNL,A0RPWH
IE00B3XXRP09,IE00B3XXRP09,Vanguard S&P 500 UCITS ETF (USD) Distributing,USD,42311.0,Ireland,"gettex, XETRA, London, Euronext Paris, Stuttgart, SIX Swiss Exchange, Borsa Italiana, Euronext Amsterdam",ETF,0.07,VUSA,A1JX53
IE00B3YCGJ38,IE00B3YCGJ38,Invesco S&P 500 UCITS ETF Acc,USD,30622.0,Ireland,"gettex, XETRA, London, SIX Swiss Exchange, Borsa Italiana, Euronext Amsterdam",ETF,0.05,P500,A1CYW7
IE00B4ND3602,IE00B4ND3602,iShares Physical Gold ETC,USD,28701.0,Ireland,"gettex, XETRA, London, Stuttgart",ETC,0.12,PPFB,A1KWPQ
IE00BKM4GZ66,IE00BKM4GZ66,iShares Core MSCI Emerging Markets IMI UCITS ETF (Acc),USD,26571.0,Ireland,"gettex, XETRA, London, Stuttgart, SIX Swiss Exchange, Borsa Italiana, Euronext Amsterdam",ETF,0.18,IS3N,A111X9
IE00BK5BQT80,IE00BK5BQT80,Vanguard FTSE All-World UCITS ETF (USD) Accumulating,USD,26303.0,Ireland,"gettex, XETRA, London, Stuttgart, SIX Swiss Exchange, Borsa Italiana, Euronext Amsterdam",ETF,0.19,VWCE,A2PKXG
IE00BFMXXD54,IE00BFMXXD54,Vanguard S&P 500 UCITS ETF (USD) Accumulating,USD,25434.0,Ireland,"gettex, XETRA, London, Borsa Italiana",ETF,0.07,VUAA,A2PFN2
IE00B579F325,IE00B579F325,Invesco Physical Gold A,USD,24301.0,Ireland,"gettex, XETRA, London, SIX Swiss Exchange, Borsa Italiana, Euronext Amsterdam",ETC,0.12,8PSG,A1AA5X
IE00B6R52259,IE00B6R52259,iShares MSCI ACWI UCITS ETF USD (Acc),USD,21059.0,Ireland,"gettex, XETRA, London, Stuttgart, SIX Swiss Exchange, Borsa Italiana, Euronext Amsterdam",ETF,0.2,IUSQ,A1JMDF
