isin,ticker,exchange,name,currency,ter
LU0908500753,MEUS,London Stock Exchange,Amundi Core Stoxx Europe 600 UCITS ETF Acc,USD,0.07
LU0908500753,LYP6,XETRA,Amundi Core Stoxx Europe 600 UCITS ETF Acc,EUR,0.07
IE00BFNM3G45,SGAS,gettex,iShares MSCI USA Screened UCITS ETF USD (Acc),EUR,0.07
IE00BFNM3G45,GPSA,London Stock Exchange,iShares MSCI USA Screened UCITS ETF USD (Acc),GBP,0.07
IE00BFNM3G45,SGAS,Stuttgart Stock Exchange,iShares MSCI USA Screened UCITS ETF USD (Acc),EUR,0.07
IE00BFNM3G45,SASU,London Stock Exchange,iShares MSCI USA Screened UCITS ETF USD (Acc),USD,0.07
IE00BFNM3G45,SASU,SIX Swiss Exchange,iShares MSCI USA Screened UCITS ETF USD (Acc),USD,0.07
IE00BFNM3G45,SGAS,XETRA,iShares MSCI USA Screened UCITS ETF USD (Acc),EUR,0.07
IE00B4K48X80,SMEA,London Stock Exchange,iShares Core MSCI Europe UCITS ETF EUR (Acc),GBX,0.12
IE00B4K48X80,EUNK,gettex,iShares Core MSCI Europe UCITS ETF EUR (Acc),EUR,0.12
IE00B4K48X80,EUNK,Stuttgart Stock Exchange,iShares Core MSCI Europe UCITS ETF EUR (Acc),EUR,0.12
IE00B4K48X80,SMEA,Borsa Italiana,iShares Core MSCI Europe UCITS ETF EUR (Acc),EUR,0.12
IE00B4K48X80,IMAE,Euronext Amsterdam,iShares Core MSCI Europe UCITS ETF EUR (Acc),EUR,0.12
IE00B4K48X80,IMEA,London Stock Exchange,iShares Core MSCI Europe UCITS ETF EUR (Acc),EUR,0.12
IE00B4K48X80,IMEA,SIX Swiss Exchange,iShares Core MSCI Europe UCITS ETF EUR (Acc),CHF,0.12
IE00B4K48X80,EUNK,XETRA,iShares Core MSCI Europe UCITS ETF EUR (Acc),EUR,0.12
IE00BFY0GT14,SPPW,gettex,SPDR MSCI World UCITS ETF,EUR,0.12
IE00BFY0GT14,SWRD,Borsa Italiana,SPDR MSCI World UCITS ETF,EUR,0.12
IE00BFY0GT14,SWRD,Euronext Amsterdam,SPDR MSCI World UCITS ETF,EUR,0.12
IE00BFY0GT14,SWRD,London Stock Exchange,SPDR MSCI World UCITS ETF,USD,0.12
IE00BFY0GT14,SWLD,London Stock Exchange,SPDR MSCI World UCITS ETF,GBP,0.12
IE00BFY0GT14,SWRD,SIX Swiss Exchange,SPDR MSCI World UCITS ETF,USD,0.12
