isin,listing,trade_currency,ticker,reuters_ric,bloomberg,market_maker
IE00B3RBWM25,XETRA,EUR,VGWL,VGWL.DE,VGWL GY IVWRLEUR,
LU0290358497,gettex,EUR,XEON,- -,- -,-
LU0290358497,Borsa Italiana,EUR,XEON,XEON.MI KV8USDINAV=SOLA,XEON IM,
LU0290358497,SIX Swiss Exchange,EUR,XEON,XEON.S,XEON SW,
LU0290358497,Stuttgart Stock Exchange,EUR,DBXT,XEON.SG,XEON GS,
LU0290358497,XETRA,EUR,XEON,XEON.DE,XEON GY,
IE0031442068,London Stock Exchange,GBX,IUSA,- -,- -,-
IE0031442068,gettex,EUR,IUSA,- -,- -,-
IE0031442068,Stuttgart Stock Exchange,EUR,IUSA,- -,- -,-
IE0031442068,Bolsa Mexicana de Valores,MXN,-,IUSAN.MX,IUSAN MM,
IE0031442068,Borsa Italiana,EUR,IUSA,IUSA.MI IUSAINAV.DE,IUSA IM INAVUSAE,
IE0031442068,Euronext Amsterdam,EUR,IUSA,ISSP.AS IUSAINAV.DE,IUSA NA INAVUSAE,
IE0031442068,London Stock Exchange,USD,IDUS,IDUS.L IUSAUSDINAV.DE,IDUS LN INAVUSA,
IE0031442068,London Stock Exchange,GBP,-,IUSA.L IUSAGBPINAV.DE,IUSA LN BEIFIUSA,
IE0031442068,SIX Swiss Exchange,USD,IUSA,IUSA.S IUSAUSDINAV.DE,IUSA SE INAVUSA,
IE0031442068,XETRA,EUR,IUSA,IUSA.DE IUSAINAV.DE,IUSA GY INAVUSAE,
IE00BJ0KDQ92,gettex,EUR,XDWD,- -,- -,-
IE00BJ0KDQ92,Stuttgart Stock Exchange,EUR,XDWD,- -,- -,-
IE00BJ0KDQ92,Borsa Italiana,EUR,XDWD,XDWD.MI,XDWD IM,
IE00BJ0KDQ92,London Stock Exchange,GBX,XWLD,XWLD.L X2IFINAV.DE,XWLD LN XDWDINVE,
